Path,Name,TypeName,Type,Description,Created,CreatedBy,Modified,ModifiedBy
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_cm_account_periods_d(Table),crw_ae_cm_account_periods_d,Table,Table,,10/10/2019 2:21:12 PM,ird0sxw,10/10/2019 2:21:12 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_cm_account_periods_f(Table),crw_ae_cm_account_periods_f,Table,Table,,10/10/2019 2:21:12 PM,ird0sxw,10/10/2019 2:21:12 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_cm_audit_cases_d(Table),crw_ae_cm_audit_cases_d,Table,Table,,3/12/2019 1:48:39 PM,ird0sxw,6/04/2020 7:20:27 AM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_cm_audit_cases_f(Table),crw_ae_cm_audit_cases_f,Table,Table,,3/12/2019 1:48:39 PM,ird0sxw,5/12/2019 10:15:56 AM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_cm_audit_cases_r(Table),crw_ae_cm_audit_cases_r,Table,Table,,3/12/2019 1:48:39 PM,ird0sxw,6/04/2020 7:20:17 AM,ird0sxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_customers_d(Table),crw_ae_customers_d,Table,Table,,2/12/2019 1:54:16 PM,ird0sxw,2/12/2019 1:54:16 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_customers_f(Table),crw_ae_customers_f,Table,Table,,2/12/2019 1:54:16 PM,ird0sxw,2/12/2019 1:54:16 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_special_clients_all_d(Table),crw_ae_special_clients_all_d,Table,Table,,31/10/2019 2:20:06 PM,ird0sxw,31/10/2019 2:20:06 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_special_clients_all_f(Table),crw_ae_special_clients_all_f,Table,Table,,31/10/2019 2:20:06 PM,ird0sxw,31/10/2019 2:20:06 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_cessation_reasons_d(Table),crw_ae_tax_cessation_reasons_d,Table,Table,,10/10/2019 2:29:26 PM,ird0sxw,10/10/2019 2:29:26 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_cessation_reasons_f(Table),crw_ae_tax_cessation_reasons_f,Table,Table,,10/10/2019 2:29:26 PM,ird0sxw,10/10/2019 2:29:26 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Work/Account/crw_ae_tax_exemption_reasons_d(Table),crw_ae_tax_exemption_reasons_d,Table,Table,,11/10/2019 10:10:32 AM,ird0sxw,11/10/2019 10:10:32 AM,ird0mxw
