Path,Name,TypeName,Type,Description,Created,CreatedBy,Modified,ModifiedBy
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_lanofficelocation Cleanse(Job),crw_ps_lanofficelocation Cleanse,Job,Job,,2/09/2019 3:47:13 PM,ird0sxw,24/04/2020 9:12:12 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_lanofficelocation Commit(Job),crw_ps_lanofficelocation Commit,Job,Job,,2/09/2019 3:47:13 PM,ird0sxw,24/04/2020 9:13:23 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblcustomer Cleanse(Job),crw_ps_tblcustomer Cleanse,Job,Job,,27/08/2019 5:00:05 PM,ird0mxw,24/04/2020 9:13:35 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblcustomer Commit(Job),crw_ps_tblcustomer Commit,Job,Job,,31/07/2019 1:30:38 PM,ird0mxw,24/04/2020 9:13:53 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblcustomerinfo Cleanse(Job),crw_ps_tblcustomerinfo Cleanse,Job,Job,,3/09/2019 9:53:53 AM,ird0sxw,24/04/2020 9:14:06 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblcustomerinfo Commit(Job),crw_ps_tblcustomerinfo Commit,Job,Job,,3/09/2019 9:53:53 AM,ird0sxw,24/04/2020 9:14:19 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblcustomerlevel Cleanse(Job),crw_ps_tblcustomerlevel Cleanse,Job,Job,,28/08/2019 1:57:24 PM,ird0mxw,24/04/2020 9:14:29 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblcustomerlevel Commit(Job),crw_ps_tblcustomerlevel Commit,Job,Job,,28/08/2019 1:57:24 PM,ird0mxw,24/04/2020 9:14:40 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblcustomerstd Cleanse(Job),crw_ps_tblcustomerstd Cleanse,Job,Job,,2/09/2019 2:39:00 PM,ird0sxw,24/04/2020 9:14:51 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblcustomerstd Commit(Job),crw_ps_tblcustomerstd Commit,Job,Job,,2/09/2019 2:39:00 PM,ird0sxw,24/04/2020 9:15:02 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblid Cleanse(Job),crw_ps_tblid Cleanse,Job,Job,,1/07/2019 6:47:56 PM,ird0mxw,5/05/2020 9:18:50 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblid Commit(Job),crw_ps_tblid Commit,Job,Job,,28/07/2019 8:29:56 PM,ird0mxw,5/05/2020 9:18:50 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblid_ird Cleanse(Job),crw_ps_tblid_ird Cleanse,Job,Job,,15/10/2019 3:04:31 PM,ird0mxw,6/05/2020 4:56:04 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblid_ird Commit(Job),crw_ps_tblid_ird Commit,Job,Job,,15/10/2019 3:04:31 PM,ird0mxw,5/05/2020 9:18:50 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblindicator Cleanse(Job),crw_ps_tblindicator Cleanse,Job,Job,,28/08/2019 9:47:28 AM,ird0sxw,5/05/2020 9:18:50 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblindicator Commit(Job),crw_ps_tblindicator Commit,Job,Job,,28/08/2019 2:37:17 PM,ird0sxw,5/05/2020 9:18:50 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblindicator_insolv Cleanse(Job),crw_ps_tblindicator_insolv Cleanse,Job,Job,,5/09/2019 8:42:10 AM,ird0sxw,5/05/2020 9:18:50 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblindicator_insolv Commit(Job),crw_ps_tblindicator_insolv Commit,Job,Job,,5/09/2019 8:42:10 AM,ird0sxw,5/05/2020 9:18:50 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblindicator_sec Cleanse(Job),crw_ps_tblindicator_sec Cleanse,Job,Job,,9/09/2019 5:43:03 PM,ird0sxw,5/05/2020 9:18:50 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblindicator_sec Commit(Job),crw_ps_tblindicator_sec Commit,Job,Job,,9/09/2019 5:43:03 PM,ird0sxw,5/05/2020 9:18:50 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblnaics Cleanse(Job),crw_ps_tblnaics Cleanse,Job,Job,,30/08/2019 10:20:28 AM,ird0sxw,5/05/2020 9:18:50 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblnaics Commit(Job),crw_ps_tblnaics Commit,Job,Job,,30/08/2019 10:20:28 AM,ird0sxw,5/05/2020 9:18:50 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblnamerecord Cleanse(Job),crw_ps_tblnamerecord Cleanse,Job,Job,,28/07/2019 8:29:56 PM,ird0mxw,24/04/2020 9:18:59 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblnamerecord Commit(Job),crw_ps_tblnamerecord Commit,Job,Job,,12/07/2019 5:53:55 PM,ird0mxw,24/04/2020 9:19:12 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblnz_accidgedu Cleanse(Job),crw_ps_tblnz_accidgedu Cleanse,Job,Job,,30/08/2019 10:20:28 AM,ird0sxw,24/04/2020 9:19:42 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblnz_accidgedu Commit(Job),crw_ps_tblnz_accidgedu Commit,Job,Job,,30/08/2019 10:20:28 AM,ird0sxw,24/04/2020 9:23:54 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblnz_accidgovr Cleanse(Job),crw_ps_tblnz_accidgovr Cleanse,Job,Job,,30/08/2019 8:45:53 AM,ird0sxw,24/04/2020 9:24:14 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblnz_accidgovr Commit(Job),crw_ps_tblnz_accidgovr Commit,Job,Job,,30/08/2019 8:46:04 AM,ird0sxw,24/04/2020 9:25:09 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblnz_cstcominfo Cleanse(Job),crw_ps_tblnz_cstcominfo Cleanse,Job,Job,,30/08/2019 10:20:28 AM,ird0sxw,24/04/2020 9:25:20 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblnz_cstcominfo Commit(Job),crw_ps_tblnz_cstcominfo Commit,Job,Job,,30/08/2019 10:20:28 AM,ird0sxw,24/04/2020 9:25:32 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblnz_customerstd Cleanse(Job),crw_ps_tblnz_customerstd Cleanse,Job,Job,,30/08/2019 10:20:28 AM,ird0sxw,24/04/2020 9:25:47 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblnz_customerstd Commit(Job),crw_ps_tblnz_customerstd Commit,Job,Job,,30/08/2019 10:20:28 AM,ird0sxw,24/04/2020 9:25:59 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblnz_custsegmenthist Cleanse(Job),crw_ps_tblnz_custsegmenthist Cleanse,Job,Job,,10/10/2019 12:35:25 PM,ird0mxw,24/04/2020 9:26:18 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/crw_ps_tblnz_custsegmenthist Commit(Job),crw_ps_tblnz_custsegmenthist Commit,Job,Job,,10/10/2019 12:35:25 PM,ird0mxw,24/04/2020 9:26:28 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/individual Load(Job),individual Load,Job,Job,,17/09/2019 12:04:30 PM,ird0mxw,7/05/2020 4:21:45 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/organisation Load(Job),organisation Load,Job,Job,,9/09/2019 4:47:09 PM,ird0mxw,12/05/2020 10:38:12 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/party Load(Job),party Load,Job,Job,,9/09/2019 4:47:09 PM,ird0mxw,7/05/2020 4:21:45 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/EDW/rfn_pe_individual Commit(Job),rfn_pe_individual Commit,Job,Job,,17/09/2019 11:03:30 AM,ird0sxw,7/05/2020 4:21:45 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/EDW/rfn_pe_individual Merge Enrich(Job),rfn_pe_individual Merge Enrich,Job,Job,,16/09/2019 9:23:17 AM,ird0mxw,11/05/2020 5:30:42 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/EDW/rfn_pe_organisation Commit(Job),rfn_pe_organisation Commit,Job,Job,,16/09/2019 4:56:53 PM,ird0sxw,7/05/2020 4:21:45 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/EDW/rfn_pe_organisation Merge Enrich(Job),rfn_pe_organisation Merge Enrich,Job,Job,,18/09/2019 11:29:09 AM,ird0mxw,11/05/2020 5:28:06 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/EDW/rfn_pe_timeline Build Timeline(Job),rfn_pe_timeline Build Timeline,Job,Job,,17/12/2019 6:55:42 PM,ird0mxw,2/05/2020 3:50:29 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/EDW/rfn_pe_timeline Generate SKeys(Job),rfn_pe_timeline Generate SKeys,Job,Job,,1/08/2019 5:43:36 PM,ird0mxw,24/04/2020 9:09:07 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/rfn_ps_bankruptcy(Job),rfn_ps_bankruptcy,Job,Job,,16/10/2019 1:42:48 PM,ird0mxw,30/04/2020 2:52:12 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/rfn_ps_individual Commit(Job),rfn_ps_individual Commit,Job,Job,,9/09/2019 5:44:32 PM,ird0sxw,7/05/2020 4:21:45 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/rfn_ps_individual Merge Enrich(Job),rfn_ps_individual Merge Enrich,Job,Job,,10/09/2019 2:35:21 PM,ird0sxw,11/05/2020 5:29:58 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/rfn_ps_organisation Commit(Job),rfn_ps_organisation Commit,Job,Job,,1/07/2019 6:47:56 PM,ird0mxw,7/05/2020 4:21:45 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/rfn_ps_organisation Merge Enrich(Job),rfn_ps_organisation Merge Enrich,Job,Job,,1/08/2019 10:17:07 AM,ird0mxw,2/06/2020 6:43:51 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/rfn_ps_timeline Build Timeline(Job),rfn_ps_timeline Build Timeline,Job,Job,,17/12/2019 6:55:42 PM,ird0mxw,3/06/2020 8:56:14 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/20 Refined/Party/START/rfn_ps_timeline Generate SKeys(Job),rfn_ps_timeline Generate SKeys,Job,Job,,1/08/2019 10:17:07 AM,ird0mxw,3/06/2020 9:03:23 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/20 Refined/Party/EDW(Folder),EDW,Folder,Folder,,13/09/2019 9:47:03 AM,ird0mxw,13/09/2019 9:47:03 AM,ird0mxw
